Mod:Item:MetaData, Localized Name
hbm:machine_drain, Drainage Pipe
hbm:radio_torch_sender, Redstone-over-Radio Transmitter
hbm:radio_torch_receiver, Redstone-over-Radio Receiver
hbm:radio_telex, Telex Machine
hbm:fluid_duct_mk2:0, Universal Fluid Duct
hbm:fluid_duct_mk2:1, Universal Fluid Duct
hbm:fluid_duct_mk2:2, Universal Fluid Duct
hbm:fluid_duct_box:0, Universal Fluid Duct (Boxduct)
hbm:fluid_duct_box:1, Universal Fluid Duct (Boxduct)
hbm:fluid_duct_box:2, Universal Fluid Duct (Boxduct)
hbm:fluid_duct_box:3, Universal Fluid Duct (Boxduct)
hbm:fluid_duct_box:4, Universal Fluid Duct (Boxduct)
hbm:fluid_duct_box:5, Universal Fluid Duct (Boxduct)
hbm:fluid_duct_box:6, Universal Fluid Duct (Boxduct)
hbm:fluid_duct_box:7, Universal Fluid Duct (Boxduct)
hbm:fluid_duct_box:8, Universal Fluid Duct (Boxduct)
hbm:fluid_duct_box:9, Universal Fluid Duct (Boxduct)
hbm:fluid_duct_box:10, Universal Fluid Duct (Boxduct)
hbm:fluid_duct_box:11, Universal Fluid Duct (Boxduct)
hbm:fluid_duct_box:12, Universal Fluid Duct (Boxduct)
hbm:fluid_duct_box:13, Universal Fluid Duct (Boxduct)
hbm:fluid_duct_box:14, Universal Fluid Duct (Boxduct)
hbm:fluid_duct_exhaust:0, Exhaust Pipe
hbm:fluid_duct_exhaust:3, Exhaust Pipe
hbm:fluid_duct_exhaust:6, Exhaust Pipe
hbm:fluid_duct_exhaust:9, Exhaust Pipe
hbm:fluid_duct_exhaust:12, Exhaust Pipe
hbm:fluid_duct_paintable_block_exhaust, Paintable Coated Exhaust Pipe
hbm:pipe_anchor, tile.pipe_anchor.name
hbm:fluid_duct_solid, Coated Universal Fluid Duct (Deprecated)
hbm:fluid_duct_solid_sealed, Rad Sealed Fluid Duct
hbm:pneumatic_tube, Pneumatic Tube
hbm:pneumatic_tube_paintable, Paintable Pneumatic Tube
hbm:dungeon_chain, Metal Chain
hbm:ladder_sturdy, Sturdy Wooden Ladder
hbm:ladder_iron, Iron Ladder
hbm:ladder_gold, Golden Ladder
hbm:ladder_aluminium, Aluminium Ladder
hbm:ladder_copper, Copper Ladder
hbm:ladder_titanium, Titanium Ladder
hbm:ladder_lead, Lead Ladder
hbm:ladder_cobalt, Cobalt Ladder
hbm:ladder_steel, Steel Ladder
hbm:ladder_tungsten, Tungsten Ladder
hbm:ladder_red, Red Ladder
hbm:ladder_red_top, Red Ladder Top
hbm:trapdoor_steel, Steel Trapdoor
hbm:railing_end_floor, Railing End (Floor)
hbm:railing_end_self, Railing End (Self)
hbm:railing_end_flipped_floor, Railing End Flipped (Floor)
hbm:railing_end_flipped_self, Railing End Flipped (Self)
hbm:railing_normal, Railing
hbm:railing_bend, Railing Bend
hbm:control_panel_custom, Custom Control Panel [WIP]
hbm:boxcar, Boxcar
hbm:boat, Boat
hbm:null, tile.null.name
hbm:void, tile.void.name
hbm:ngtv, tile.ngtv.name
hbm:undef, tile.undef.name
hbm:dummy_block_uf6, tile.dummy_block_uf6.name
hbm:dummy_block_puf6, tile.dummy_block_puf6.name
hbm:dummy_block_vault, tile.dummy_block_vault.name
hbm:dummy_block_blast, tile.dummy_block_blast.name
hbm:dummy_block_silo_hatch, tile.dummy_block_silo_hatch.name
hbm:dummy_plate_compact_launcher, tile.dummy_plate_compact_launcher.name
hbm:dummy_port_compact_launcher, tile.dummy_port_compact_launcher.name
hbm:dummy_plate_launch_table, tile.dummy_plate_launch_table.name
hbm:dummy_port_launch_table, tile.dummy_port_launch_table.name
hbm:dummy_plate_cargo, tile.dummy_plate_cargo.name
hbm:ntm_dirt, Dirt
hbm:pink_log, Pink Log
hbm:pink_planks, Pink Wood Planks
hbm:pink_slab:0, Pink Wood Slab
hbm:pink_stairs, Pink Wood Stairs
hbm:wand_air, Structure Wand Block (Air)
hbm:wand_loot, Structure Wand Block (Lootable)
hbm:wand_jigsaw, Structure Wand Block (Jigsaw)
hbm:wand_logic, Structure Wand Block (Logic)
hbm:wand_tandem, tile.wand_tandem.name
hbm:logic_block, Dungeon Action Block
hbm:toxic_block, Stereotypical Green Ooze
hbm:mud_block, Poisonous Mud
hbm:acid_block, Acid
hbm:schrabidic_block, Schrabidic Acid
hbm:corium_block, Corium
hbm:volcanic_lava_block, Volcanic Lava
hbm:bromine_block, Alkyl Bromide
hbm:sulfuric_acid_block, Sulfuric Acid
hbm:redstone_sword, Redstone Sword
hbm:big_sword, Great Sword
hbm:dosimeter, Dosimeter
hbm:geiger_counter, Handheld Geiger Counter
hbm:digamma_diagnostic, Digamma Diagnostic
hbm:lung_diagnostic, Lung Diagnostic
hbm:screwdriver, Screwdriver
hbm:screwdriver_desh, Desh Screwdriver
hbm:hand_drill, Hand Drill
hbm:hand_drill_desh, Desh Hand Drill
hbm:wrench_archineer, Archineer's Wrench
hbm:boltgun, Pneumatic Rivet Gun
hbm:blowtorch, Blowtorch
hbm:acetylene_torch, Acetylene Welding Torch
hbm:chemistry_set, Laboratory Glassware
hbm:chemistry_set_boron, Laboratory Glassware (Boron Glass)
hbm:reacher, Tungsten Reacher
hbm:bismuth_tool, Magnetic Extractor
hbm:wiring_red_copper, Cable Drum
hbm:survey_scanner, Survey Scanner
hbm:oil_detector, Oil Reservoir Detector
hbm:mirror_tool, Mirror Adjustment Tool
hbm:rbmk_tool, RBMK Console Linking Device
hbm:coltan_tool, Coltass
hbm:power_net_tool, Cable Network Analysis Tool
hbm:analysis_tool, Analysis Tool
hbm:linker, Telelinker
hbm:reactor_sensor, Reactor Remote Sensor
hbm:drone_linker, Transport Drone Linker
hbm:radar_linker, Radar Linker
hbm:settings_tool, Settings Tool
hbm:pollution_detector, Pollution Detector
hbm:ore_density_scanner, Bedrock Ore Density Scanner
hbm:rebar_placer, Rebar Placer
hbm:syringe_empty, Empty Syringe
hbm:syringe_awesome, AWESOME
hbm:syringe_antidote, Antidote
hbm:syringe_poison, Poisonous Injection
hbm:syringe_metal_empty, Metal Syringe
hbm:syringe_metal_medx, Med-X
hbm:syringe_metal_psycho, Psycho
hbm:syringe_metal_stimpak, Stimpak
hbm:syringe_metal_super, Super Stimpak
hbm:syringe_taint, Watery Taint Injection
hbm:syringe_mkunicorn, MKUNICORN
hbm:med_bag, First Aid Kit
hbm:radx, Rad-X
hbm:siox, SiOX Cancer Medication
hbm:iv_xp_empty, Empty Experience Bag
hbm:pill_herbal, Herbal Paste
hbm:xanax, NAXA Anti-Digamma Medication
hbm:iv_xp, Experience Bag
hbm:fmn, Flunitrazepam Tablet
hbm:five_htp, Enteramine Pills
hbm:iv_empty, IV Bag
hbm:pill_iodine, Iodine Pill
hbm:plan_c, Plan C
hbm:iv_blood, Blood Bag
hbm:stealth_boy, Stealth Device
hbm:jetpack_tank, Jetpack Reserve Fuel Tank
hbm:radaway, RadAway
hbm:gun_kit_1, Gun Oil
hbm:gun_kit_2, Gun Repair Kit
hbm:radaway_strong, Strong RadAway
hbm:euphemium_kit, Euphemium Kit
hbm:cbt_device, CBT Device
hbm:radaway_flush, Elite RadAway
hbm:gas_mask_filter_rag, Makeshift Gas Mask Filter
hbm:gas_mask_filter_piss, Advanced Makeshift Gas Mask Filter
hbm:gas_mask_filter_mono, Catalytic Mask Filter
hbm:gas_mask_filter, Gas Mask Filter
hbm:gas_mask_filter_combo, Gas Mask Combo Filter
hbm:attachment_mask, Gas Mask Attachable
hbm:attachment_mask_mono, Half Mask Attachable
hbm:cigarette, FFI-Brand Cigarette
hbm:crackpipe, Health Pipe
hbm:bdcl, BDCL
hbm:back_tesla, Back-Mounted Tesla Coil
hbm:pads_rubber, Rubber Pads
hbm:pads_slime, Slime Pads
hbm:pads_static, Static Pads
hbm:cladding_paint, Lead Paint
hbm:cladding_rubber, Rubber Cladding
hbm:cladding_lead, Lead Cladding
hbm:cladding_desh, Desh Cladding
hbm:cladding_ghiorsium, Ghiorsium Cladding
hbm:cladding_iron, Iron Cladding
hbm:cladding_obsidian, Obsidian Skin
hbm:insert_kevlar, Kevlar Insert
hbm:insert_sapi, SAPI Insert
hbm:insert_esapi, ESAPI Insert
hbm:insert_xsapi, XSAPI Insert
hbm:insert_steel, Heavy Steel Insert
hbm:insert_du, DU Insert
hbm:insert_polonium, Polonium Insert
hbm:insert_ghiorsium, Ghiorsium Insert
hbm:insert_era, Explosive Reactive Armor Insert
hbm:insert_yharonite, Yharonite Insert
hbm:insert_doxium, Astolfium-Doped Doxium Insert
hbm:armor_polish, ShiningArmor™ Armor Polish
hbm:bandaid, Velvet Band-Aid
hbm:serum, Serum
hbm:quartz_plutonium, Plutonic Quartz
hbm:morning_glory, Morning Glory
hbm:lodestone, Lodestone
hbm:horseshoe_magnet, Horseshoe Magnet
hbm:industrial_magnet, Industrial Magnet
hbm:bathwater, Toxic Soapy Water
hbm:bathwater_mk2, Toxic Soapy Water (Horse Scented)
hbm:spider_milk, Bottle of Spider Milk
hbm:ink, 林 Ink
hbm:heart_piece, Heart Piece
hbm:heart_container, Heart Container
hbm:heart_booster, Heart Booster
hbm:heart_fab, Heart of Darkness
hbm:black_diamond, Black Diamond
hbm:wd40, VT-40
hbm:scrumpy, Bottle of Scrumpy
hbm:wild_p, Wild Pegasus Dry Whiskey
hbm:fabsols_vodka, Fabsol's Vodka
hbm:shackles, Shackles
hbm:injector_5htp, 5-HTP Autoinjector
hbm:injector_knife, 8 Inch Blade Autoinjector
hbm:medal_liquidator, Liquidator Medal
hbm:bottled_cloud, Cloud in a Bottle
hbm:servo_set, Servo Set
hbm:servo_set_desh, Desh Servo Set
hbm:v1, V1
hbm:neutrino_lens, Neutrino Lens
hbm:gas_tester, Gas Sensor
hbm:defuser_gold, Golden Wire Cutter
hbm:ballistic_gauntlet, Ballistic Gauntlet
hbm:night_vision, Night Vision Goggles
hbm:card_aos, Ace of Spades
hbm:card_qos, Queen of Spades
hbm:protection_charm, Charm of Protection
hbm:meteor_charm, Meteor Charm
hbm:stamp_stone_flat, Flat Stamp (Stone)
hbm:stamp_stone_plate, Plate Stamp (Stone)
hbm:stamp_stone_wire, Wire Stamp (Stone)
hbm:stamp_stone_circuit, Circuit Stamp (Stone)
hbm:stamp_iron_flat, Flat Stamp (Iron)
hbm:stamp_iron_plate, Plate Stamp (Iron)
hbm:stamp_iron_wire, Wire Stamp (Iron)
hbm:stamp_iron_circuit, Circuit Stamp (Iron)
hbm:stamp_steel_flat, Flat Stamp (Steel)
hbm:stamp_steel_plate, Plate Stamp (Steel)
hbm:stamp_steel_wire, Wire Stamp (Steel)
hbm:stamp_steel_circuit, Circuit Stamp (Steel)
hbm:stamp_titanium_flat, Flat Stamp (Titanium)
hbm:stamp_titanium_plate, Plate Stamp (Titanium)
hbm:stamp_titanium_wire, Wire Stamp (Titanium)
hbm:stamp_titanium_circuit, Circuit Stamp (Titanium)
hbm:stamp_obsidian_flat, Flat Stamp (Obsidian)
hbm:stamp_obsidian_plate, Plate Stamp (Obsidian)
hbm:stamp_obsidian_wire, Wire Stamp (Obsidian)
hbm:stamp_obsidian_circuit, Circuit Stamp (Obsidian)
hbm:stamp_desh_flat, Flat Stamp (Desh)
hbm:stamp_desh_plate, Plate Stamp (Desh)
hbm:stamp_desh_wire, Wire Stamp (Desh)
hbm:stamp_desh_circuit, Circuit Stamp (Desh)
hbm:stamp_desh_357, .357 Magnum Stamp (Desh)
hbm:stamp_desh_44, .44 Magnum Stamp (Desh)
hbm:stamp_desh_9, Small Caliber Stamp (Desh)
hbm:stamp_desh_50, Large Caliber Stamp (Desh)
hbm:stamp_357, .357 Magnum Stamp
hbm:stamp_44, .44 Magnum Stamp
hbm:stamp_9, Small Caliber Stamp
hbm:stamp_50, Large Caliber Stamp
hbm:stamp_book:0, Printing Press Stamp (Part 1)
hbm:stamp_book:1, Printing Press Stamp (Part 2)
hbm:stamp_book:2, Printing Press Stamp (Part 3)
hbm:stamp_book:3, Printing Press Stamp (Part 4)
hbm:stamp_book:4, Printing Press Stamp (Part 5)
hbm:stamp_book:5, Printing Press Stamp (Part 6)
hbm:stamp_book:6, Printing Press Stamp (Part 7)
hbm:stamp_book:7, Printing Press Stamp (Part 8)
hbm:blades_steel, Steel Shredder Blades
hbm:blades_titanium, Titanium Shredder Blades
hbm:blades_advanced_alloy, Advanced Shredder Blades
hbm:blades_desh, Desh Shredder Blades
hbm:fuse, Fuse
hbm:redcoil_capacitor, Redcoil Capacitor
hbm:euphemium_capacitor, Euphemium Capacitor
hbm:overfuse, Singularity Screwdriver
hbm:arc_electrode:0, Graphite Electrode
hbm:arc_electrode:1, Lanthanium Electrode
hbm:arc_electrode:2, Desh Electrode
hbm:arc_electrode:3, Saturnite Electrode
hbm:arc_electrode_burnt:0, Molten Graphite Electrode
hbm:arc_electrode_burnt:1, Molten Lanthanium Electrode
hbm:arc_electrode_burnt:2, Molten Desh Electrode
hbm:arc_electrode_burnt:3, Molten Saturnite Electrode
hbm:piston_selenium, Combustion Engine Piston
hbm:piston_set:0, Steel Piston Set
hbm:piston_set:1, High-Speed Steel Piston Set
hbm:piston_set:2, Desh Piston Set
hbm:piston_set:3, Starmetal Piston Set
hbm:drillbit:0, Steel Drillbit
hbm:drillbit:1, Steel Drillbit (Diamond-Tipped)
hbm:drillbit:2, High-Speed Steel Drillbit
hbm:drillbit:3, High-Speed Steel Drillbit (Diamond-Tipped)
hbm:drillbit:4, Desh Drillbit
hbm:drillbit:5, Desh Drillbit (Diamond-Tipped)
hbm:drillbit:6, Technetium Steel Drillbit
hbm:drillbit:7, Technetium Steel Drillbit (Diamond-Tipped)
hbm:drillbit:8, Ferrouranium Drillbit
hbm:drillbit:9, Ferrouranium Drillbit (Diamond-Tipped)
hbm:thermo_element, Thermoelectric Element
hbm:catalytic_converter, Catalytic Converter
hbm:part_lithium, Box of Lithium Dust
hbm:part_beryllium, Box of Beryllium Dust
hbm:part_carbon, Box of Carbon Dust
hbm:part_copper, Box of Copper Dust
hbm:part_plutonium, Box of Plutonium Dust
hbm:fusion_shield_tungsten, Tungsten Fusion Reactor Blanket
hbm:fusion_shield_desh, Desh Fusion Reactor Blanket
hbm:fusion_shield_chlorophyte, Chlorophyte-Metallized Fusion Reactor Blanket
hbm:fusion_shield_vaporwave, Vaporwave Fusion Reactor Blanket
hbm:battery_sc:0, Empty Self-Charging Battery
hbm:battery_sc:1, Spent Fuel Self-Charging Battery
hbm:battery_sc:2, Radium-226 Self-Charging Battery
hbm:battery_sc:3, Technetium-99 Self-Charging Battery
hbm:battery_sc:4, Cobalt-60 Self-Charging Battery
hbm:battery_sc:5, Plutonium-238 Self-Charging Battery
hbm:battery_sc:6, Polonium-210 Self-Charging Battery
hbm:battery_sc:7, Gold-198 Self-Charging Battery
hbm:battery_sc:8, Lead-209 Self-Charging Battery
hbm:battery_sc:9, Americium-241 Self-Charging Battery
hbm:battery_sc_uranium, Self-Charging Uranium-238 Battery (LEGACY)
hbm:battery_sc_technetium, Self-Charging Technetium-99 Battery (LEGACY)
hbm:battery_sc_plutonium, Self-Charging Plutonium-238 Battery (LEGACY)
hbm:battery_sc_polonium, Self-Charging Polonium-210 Battery (LEGACY)
hbm:battery_sc_gold, Self-Charging Gold-198 Battery (LEGACY)
hbm:battery_sc_lead, Self-Charging Lead-209 Battery (LEGACY)
hbm:battery_sc_americium, Self-Charging Americium-241 Battery (LEGACY)
hbm:battery_pack:0, Redstone Battery
hbm:battery_pack:0, Redstone Battery
hbm:battery_pack:1, Lead-Acid Battery
hbm:battery_pack:1, Lead-Acid Battery
hbm:battery_pack:2, Lithium-Ion Battery
hbm:battery_pack:2, Lithium-Ion Battery
hbm:battery_pack:3, Sodium-Iron Battery
hbm:battery_pack:3, Sodium-Iron Battery
hbm:battery_pack:4, Schrabidium Battery
hbm:battery_pack:4, Schrabidium Battery
hbm:battery_pack:5, Quantum Battery
hbm:battery_pack:5, Quantum Battery
hbm:battery_pack:6, Copper Capacitor
hbm:battery_pack:6, Copper Capacitor
hbm:battery_pack:7, Gold Capacitor
hbm:battery_pack:7, Gold Capacitor
hbm:battery_pack:8, Niobium Capacitor
hbm:battery_pack:8, Niobium Capacitor
hbm:battery_pack:9, Tantalum Capacitor
hbm:battery_pack:9, Tantalum Capacitor
hbm:battery_pack:10, Bismuth Capacitor
hbm:battery_pack:10, Bismuth Capacitor
hbm:battery_pack:11, Spark Capacitor
hbm:battery_pack:11, Spark Capacitor
hbm:battery_creative, Infinite Battery
hbm:battery_generic, Battery (LEGACY)
hbm:battery_red_cell, Redstone Power Cell (LEGACY)
hbm:battery_red_cell_6, Sixfold Redstone Power Cell (LEGACY)
hbm:battery_red_cell_24, 24-Fold Redstone Power Cell (LEGACY)
hbm:battery_advanced, Advanced Battery (LEGACY)
hbm:battery_advanced_cell, Advanced Power Cell (LEGACY)
hbm:battery_advanced_cell_4, Quadruple Advanced Power Cell (LEGACY)
hbm:battery_advanced_cell_12, Twelvefold Advanced Power Cell (LEGACY)
hbm:battery_lithium, Lithium-Ion Battery (LEGACY)
hbm:battery_lithium_cell, Lithium-Ion Power Cell (LEGACY)
hbm:battery_lithium_cell_3, Triple Lithium-Ion Power Cell (LEGACY)
hbm:battery_lithium_cell_6, Sixfold Lithium-Ion Power Cell (LEGACY)
hbm:battery_schrabidium, Schrabidium Battery
hbm:battery_schrabidium_cell, Schrabidium Power Cell
hbm:battery_schrabidium_cell_2, Double Schrabidium Power Cell
hbm:battery_schrabidium_cell_4, Quadruple Schrabidium Power Cell
hbm:battery_trixite, Off-Brand Spark Battery
hbm:battery_spark, Spark Battery
hbm:battery_spark_cell_6, Spark Power Cell
hbm:battery_spark_cell_25, Spark Arcane Car Battery
hbm:battery_spark_cell_100, Spark Arcane Energy Storage Array
hbm:battery_spark_cell_1000, Spark Arcane Mass-Energy Void
hbm:battery_spark_cell_2500, Spark Arcane Dirac Sea
hbm:battery_spark_cell_10000, Spark Solid Space-Time Crystal
hbm:battery_spark_cell_power, Spark Ludicrous Physics-Defying Energy Storage Unit
hbm:battery_potato, Potato Battery
hbm:battery_potatos, PotatOS
hbm:hev_battery, Suit Battery
hbm:fusion_core, Fusion Core
hbm:energy_core, Makeshift Energy Core
hbm:fusion_core_infinite, Infinite Fusion Core
hbm:laser_crystal_co2, CO2-Desh Laser Crystal
hbm:laser_crystal_bismuth, BiSmUTh Laser Crystal
hbm:laser_crystal_cmb, CMB-Schrabidate Antimatter Laser Crystal
hbm:laser_crystal_bale, Spark Laser Crystal
hbm:laser_crystal_digamma, Digamma Laser Crystal
hbm:upgrade_speed_1, Speed Upgrade Mk.I
hbm:upgrade_speed_2, Speed Upgrade Mk.II
hbm:upgrade_speed_3, Speed Upgrade Mk.III
hbm:upgrade_effect_1, Effectiveness Upgrade Mk.I
hbm:upgrade_effect_2, Effectiveness Upgrade Mk.II
hbm:upgrade_effect_3, Effectiveness Upgrade Mk.III
hbm:upgrade_power_1, Power Saving Upgrade Mk.I
hbm:upgrade_power_2, Power Saving Upgrade Mk.II
hbm:upgrade_power_3, Power Saving Upgrade Mk.III
hbm:upgrade_fortune_1, Fortune Upgrade Mk.I
hbm:upgrade_fortune_2, Fortune Upgrade Mk.II
hbm:upgrade_fortune_3, Fortune Upgrade Mk.III
hbm:upgrade_afterburn_1, Afterburner Upgrade Mk.I
hbm:upgrade_afterburn_2, Afterburner Upgrade Mk.II
hbm:upgrade_afterburn_3, Afterburner Upgrade Mk.III
hbm:upgrade_radius, Emitter Radius Upgrade
hbm:upgrade_health, Emitter Health Upgrade
hbm:upgrade_overdrive_1, Overdrive Upgrade Mk.I
hbm:upgrade_overdrive_2, Overdrive Upgrade Mk.II
hbm:upgrade_overdrive_3, Overdrive Upgrade Mk.III
hbm:upgrade_smelter, Smelter Upgrade
hbm:upgrade_shredder, Shredder Upgrade
hbm:upgrade_centrifuge, Centrifuge Upgrade
hbm:upgrade_crystallizer, Crystallizer Upgrade
hbm:upgrade_nullifier, Scrap Destroyer Upgrade
hbm:upgrade_screm, Screaming Scientist Upgrade
hbm:upgrade_gc_speed, Gas Centrifuge Overclocking Upgrade
hbm:upgrade_5g, 5G Radiation Emitter Upgrade
hbm:upgrade_ejector_1, Ejection Speed Upgrade Mk.I
hbm:upgrade_ejector_2, Ejection Speed Upgrade Mk.II
hbm:upgrade_ejector_3, Ejection Speed Upgrade Mk.III
hbm:upgrade_stack_1, Stack Ejection Upgrade Mk.I
hbm:upgrade_stack_2, Stack Ejection Upgrade Mk.II
hbm:upgrade_stack_3, Stack Ejection Upgrade Mk.III
hbm:fuel_additive:0, Tetraethyllead Antiknock Agent
hbm:fuel_additive:1, Deicer
hbm:canister_empty, Empty Canister
hbm:canister_fuel:10, Canister: Crude Oil
hbm:canister_fuel:134, Canister: Desulfurized Crude Oil
hbm:canister_fuel:61, Canister: Cracked Oil
hbm:canister_fuel:136, Canister: Desulfurized Cracked Oil
hbm:canister_fuel:62, Canister: Coal Oil
hbm:canister_fuel:12, Canister: Heavy Oil
hbm:canister_fuel:91, Canister: Vacuum Heavy Oil
hbm:canister_fuel:19, Canister: Naphtha
hbm:canister_fuel:138, Canister: Desulfurized Naphtha
hbm:canister_fuel:64, Canister: Cracked Naphtha
hbm:canister_fuel:92, Canister: Reformate
hbm:canister_fuel:21, Canister: Light Oil
hbm:canister_fuel:139, Canister: Desulfurized Light Oil
hbm:canister_fuel:65, Canister: Cracked Light Oil
hbm:canister_fuel:93, Canister: Vacuum Light Oil
hbm:canister_fuel:13, Canister: Bitumen
hbm:canister_fuel:14, Canister: Industrial Oil
hbm:canister_fuel:15, Canister: Heating Oil
hbm:canister_fuel:96, Canister: Heavy Heating Oil
hbm:canister_fuel:16, Canister: Reclaimed Industrial Oil
hbm:canister_fuel:18, Canister: Engine Lubricant
hbm:canister_fuel:95, Canister: BTX
hbm:canister_fuel:20, Canister: Diesel
hbm:canister_fuel:97, Canister: High-Cetane Diesel
hbm:canister_fuel:66, Canister: Cracked Diesel
hbm:canister_fuel:98, Canister: High-Cetane Cracked Diesel
hbm:canister_fuel:22, Canister: Kerosene
hbm:canister_fuel:99, Canister: Jet Fuel
hbm:canister_fuel:17, Canister: Petroil
hbm:canister_fuel:72, Canister: Leaded Petroil
hbm:canister_fuel:46, Canister: Gasoline
hbm:canister_fuel:73, Canister: Leaded Gasoline
hbm:canister_fuel:47, Canister: Coal Gasoline
hbm:canister_fuel:74, Canister: Leaded Coal Gasoline
hbm:canister_fuel:80, Canister: Coal Tar Creosote
hbm:canister_fuel:79, Canister: Wood Oil
hbm:canister_fuel:27, Canister: Biofuel
hbm:canister_fuel:59, Canister: Ethanol
hbm:canister_fuel:28, Canister: NITAN© 100 Octane Super Fuel
hbm:canister_fuel:81, Canister: Seeding Slurry
hbm:canister_fuel:83, Canister: Solvent
hbm:canister_fuel:49, Canister: Fracking Solution
hbm:canister_fuel:89, Canister: Hydrazine
hbm:canister_fuel:4014, Canister: Elbow Grease
hbm:canister_fuel:4015, Canister: N-MASS(III) Tetrahexaethanol
hbm:canister_fuel:4044, Canister: Blood Fuel
hbm:canister_napalm, Napalm B
hbm:gas_empty, Empty Gas Tank
hbm:gas_full:38, Gas Tank:: Liquid Hydrogen
hbm:gas_full:8, Gas Tank:: Deuterium
hbm:gas_full:9, Gas Tank:: Tritium
hbm:gas_full:57, Gas Tank:: Helium-3
hbm:gas_full:124, Gas Tank:: Helium-4
hbm:gas_full:39, Gas Tank:: Liquid Oxygen
hbm:gas_full:40, Gas Tank:: Xenon Gas
hbm:gas_full:90, Gas Tank:: Chlorine Gas
hbm:gas_full:23, Gas Tank:: Natural Gas
hbm:gas_full:24, Gas Tank:: Petroleum Gas
hbm:gas_full:94, Gas Tank:: Sour Gas
hbm:gas_full:86, Gas Tank:: Syngas
hbm:gas_full:67, Gas Tank:: Aromatic Hydrocarbons
hbm:gas_full:68, Gas Tank:: Unsaturated Hydrocarbons
hbm:gas_full:100, Gas Tank:: Reformate Gas
hbm:gas_full:26, Gas Tank:: Biogas
hbm:gas_full:102, Gas Tank:: Phosgene
hbm:gas_full:103, Gas Tank:: Mustard Gas
hbm:cell:0, Empty Cell
hbm:cell:29, Uranium Hexafluoride Cell
hbm:cell:30, Plutonium Hexafluoride Cell
hbm:cell:33, Antimatter Cell
hbm:cell:8, Deuterium Cell
hbm:cell:9, Tritium Cell
hbm:cell:31, Schrabidium Trisulfide Cell
hbm:cell:34, Antischrabidium Cell
hbm:cell_balefire, Gaseous Balefire Cell
hbm:fluid_tank_empty, Empty Universal Fluid Tank
hbm:fluid_tank_full:152, Universal Fluid Tank: Compressed Air
hbm:fluid_tank_full:1, Universal Fluid Tank: Water
hbm:fluid_tank_full:60, Universal Fluid Tank: Heavy Water
hbm:fluid_tank_full:125, Universal Fluid Tank: Hot Heavy Water
hbm:fluid_tank_full:7, Universal Fluid Tank: Lava
hbm:fluid_tank_full:2, Universal Fluid Tank: Steam
hbm:fluid_tank_full:3, Universal Fluid Tank: Dense Steam
hbm:fluid_tank_full:4, Universal Fluid Tank: Super Dense Steam
hbm:fluid_tank_full:5, Universal Fluid Tank: Ultra Dense Steam
hbm:fluid_tank_full:55, Universal Fluid Tank: Carbon Dioxide
hbm:fluid_tank_full:6, Universal Fluid Tank: Coolant
hbm:fluid_tank_full:76, Universal Fluid Tank: Hot Coolant
hbm:fluid_tank_full:145, Universal Fluid Tank: Perfluoromethyl
hbm:fluid_tank_full:146, Universal Fluid Tank: Cold Perfluoromethyl
hbm:fluid_tank_full:147, Universal Fluid Tank: Hot Perfluoromethyl
hbm:fluid_tank_full:37, Universal Fluid Tank: Cryogel
hbm:fluid_tank_full:77, Universal Fluid Tank: Mug Root Beer
hbm:fluid_tank_full:78, Universal Fluid Tank: Hot Mug Root Beer
hbm:fluid_tank_full:84, Universal Fluid Tank: Blood
hbm:fluid_tank_full:85, Universal Fluid Tank: Hot Blood
hbm:fluid_tank_full:126, Universal Fluid Tank: Liquid Sodium
hbm:fluid_tank_full:127, Universal Fluid Tank: Hot Liquid Sodium
hbm:fluid_tank_full:143, Universal Fluid Tank: Liquid Lead
hbm:fluid_tank_full:144, Universal Fluid Tank: Hot Liquid Lead
hbm:fluid_tank_full:128, Universal Fluid Tank: Liquid Thorium Salt
hbm:fluid_tank_full:129, Universal Fluid Tank: Hot Liquid Thorium Salt
hbm:fluid_tank_full:130, Universal Fluid Tank: Depleted Liquid Thorium Salt
hbm:fluid_tank_full:38, Universal Fluid Tank: Liquid Hydrogen
hbm:fluid_tank_full:8, Universal Fluid Tank: Deuterium
hbm:fluid_tank_full:9, Universal Fluid Tank: Tritium
hbm:fluid_tank_full:57, Universal Fluid Tank: Helium-3
hbm:fluid_tank_full:124, Universal Fluid Tank: Helium-4
hbm:fluid_tank_full:39, Universal Fluid Tank: Liquid Oxygen
hbm:fluid_tank_full:40, Universal Fluid Tank: Xenon Gas
hbm:fluid_tank_full:90, Universal Fluid Tank: Chlorine Gas
hbm:fluid_tank_full:42, Universal Fluid Tank: Mercury
hbm:fluid_tank_full:10, Universal Fluid Tank: Crude Oil
hbm:fluid_tank_full:134, Universal Fluid Tank: Desulfurized Crude Oil
hbm:fluid_tank_full:61, Universal Fluid Tank: Cracked Oil
hbm:fluid_tank_full:136, Universal Fluid Tank: Desulfurized Cracked Oil
hbm:fluid_tank_full:62, Universal Fluid Tank: Coal Oil
hbm:fluid_tank_full:105, Universal Fluid Tank: Coker Oil
hbm:fluid_tank_full:11, Universal Fluid Tank: Hot Crude Oil
hbm:fluid_tank_full:135, Universal Fluid Tank: Desulfurized Hot Crude Oil
hbm:fluid_tank_full:63, Universal Fluid Tank: Hot Cracked Oil
hbm:fluid_tank_full:137, Universal Fluid Tank: Desulfurized Hot Cracked Oil
